Note,Advertisement  Number,Advertisement date,Post Name,Vacancy,Last date,Salary,Location,Age Limit,Category,Qualification(Mandatory),Specialisation,Experience In Years,"Remark,if any",Organization,Qualification,Experience,Adv Number,Adv date,Remark,Adv_Year,Adv_Month
,E/02/2025,2025-04-15,Engineer (Ammonia/Urea/O&U/Electrical/Instrumentation),33.0,2025-05-06,,Multiple Locations,30.0,Engineering,B.Tech,Chemical/Mechanical/Instrumentation/Electrical,2.0,,HURL_Form,,,,,,2025.0,4.0
,,,Senior Engineer (Ammonia/Urea/O&U/Electrical/Instrumentation),12.0,,,Multiple Locations,32.0,Engineering,B.Tech,Chemical/Mechanical/Instrumentation/Electrical,4.0,,HURL_Form,,,,,,,
,,,Assistant Manager (Ammonia/Urea/O&U),20.0,,17.7,Multiple Locations,35.0,Engineering,B.Tech,Chemical/Mechanical ,7.0,,HURL_Form,,,,,,,
,,,Deputy Manager (Ammonia/Urea/O&U/Instrumentation),9.0,,21.3,Multiple Locations,37.0,Engineering,B.Tech,Chemical/Mechanical/Instrumentation,9.0,,HURL_Form,,,,,,,
There are two icons one engineering icon and one Management Icon for this post ,,,Manager (Contracts & Materials/Electrical),3.0,,26.5,Multiple Locations,40.0,Engineering,B.Tech,Any,12.0,,HURL_Form,,,,,,,
,,,,,,,,,Management,MBA/PG Diploma,Materials Mgmt,,,HURL_Form,,,,,,,
,,,Sr. Manager (Mechanical),1.0,,30.3,Multiple Locations,42.0,Engineering,B.Tech,Mechanical,14.0,,HURL_Form,,,,,,,
,,,Additional Chief Manager (O&U),1.0,,34.1,Multiple Locations,44.0,Engineering,B.Tech,Chemical/Mechanical,16.0,,HURL_Form,,,,,,,
There are two icons one Diploma icon and one Science category Icon for this post ,,,Jr Engineer Assistant (II) – Chemical/Mechanical/Electrical/Instrumentation,42.0,,8.2,Multiple Locations,30.0,Diploma,Diploma,Chemical/Mechanical/Electrical/Instrumentation,5.0,,HURL_Form,,,,,,,
,,,,,,,,,Science,BSC,Physics/Chemistry/Maths,,,HURL_Form,,,,,,,
,,,,1.0,2024-08-05,25000.0,Kerala,31.0,,,Civil Engineering/ Agricultural Engineering/ Geo-informatics,,,IIT Palakad,BE/B.Tech,Fresher,IITPKD/2024/018/CE/SAS,2/27/2024,,,
,,,,,,,,,,,Climate and Earth Sciences,,,IIT Palakad,BSC,Fresher,,,,,
